timestamp,datetime,pair,direction,strength,entry,sl,tp1,tp2,tp3,confidence_pct,risk_reward,size_lots,votes_bull,votes_bear,votes_total,atr,spread_pips,session,timeframe,notes
1772864220.592,2026-03-07T13:17:00.592399,NZD/USD,SELL,STRONG,0.60031,0.60247,0.59599,0.59383,0.59167,80.0,2.0,0.17,2,9,11,0.00108,1.5,Tokyo,1min,"EMA fast below slow (bearish bias) | Price below EMA-200 (downtrend) | RSI bearish zone (39.6) | SuperTrend bearish | Price below Ichimoku cloud, Tenkan < Kijun"
1772864220.676,2026-03-07T13:17:00.675874,USD/CAD,BUY,STRONG,1.36439,1.35986,1.37345,1.37797,1.3825,79.4,2.0,0.11,13,4,17,0.00226,1.4,Tokyo,1min,EMA fast above slow (bullish bias) | Price above EMA-200 (uptrend) | MACD line positive | Bullish RSI divergence detected | SuperTrend bullish
1772864220.761,2026-03-07T13:17:00.760661,EUR/GBP,SELL,STRONG,0.85202,0.85506,0.84596,0.84292,0.83989,78.9,2.0,0.1,4,12,16,0.00152,1.5,Tokyo,1min,"EMA fast below slow (bearish bias) | Price below EMA-200 (downtrend) | MACD line negative | SuperTrend bearish | Price below Ichimoku cloud, Tenkan < Kijun"
1772864220.846,2026-03-07T13:17:00.846392,EUR/JPY,SELL,STRONG,167.10907,217.81983,65.68755,14.97678,-35.73398,71.0,2.0,0.01,2,8,10,25.35538,1.2,Tokyo,1min,EMA fast below slow (bearish bias) | Price below EMA-200 (downtrend) | MACD line negative | RSI bearish zone (44.2) | SuperTrend bearish
1772864220.93,2026-03-07T13:17:00.929651,GBP/JPY,BUY,MODERATE,252.64502,108.50007,540.93492,685.07987,829.22482,63.0,2.0,0.01,6,2,8,72.07247,2.0,Tokyo,1min,EMA fast above slow (bullish bias) | Price above EMA-200 (uptrend) | MACD line positive | SuperTrend bullish | OBV above its EMA (bullish volume)
1772864580.345,2026-03-07T13:23:00.344580,EUR/USD,SELL,STRONG,1.08586,1.08919,1.07921,1.07588,1.07255,74.6,2.0,0.11,3,7,10,0.00166,0.8,Tokyo,1min,EMA fast crossed below slow | Price below EMA-200 (downtrend) | MACD line negative | ADX 26 strong downtrend | Price below VWAP
1772864580.426,2026-03-07T13:23:00.426113,GBP/USD,BUY,MODERATE,1.2639,1.25857,1.27456,1.27989,1.28522,62.4,2.0,0.07,9,6,15,0.00267,1.2,Tokyo,1min,"EMA fast above slow (bullish bias) | Price above EMA-200 (uptrend) | MACD line positive | Price above Ichimoku cloud, Tenkan > Kijun | Price above Keltner upper channel"
1772864580.508,2026-03-07T13:23:00.507874,USD/JPY,BUY,STRONG,267.6231,193.89103,415.08725,488.81933,562.5514,78.0,2.0,0.01,8,4,12,36.86604,0.8,Tokyo,1min,"EMA fast crossed above slow | Price above EMA-200 (uptrend) | RSI bullish zone (59.2) | SuperTrend bullish | Price above Ichimoku cloud, Tenkan > Kijun"
1772864580.589,2026-03-07T13:23:00.589119,USD/CHF,BUY,STRONG,0.89826,0.89464,0.90551,0.90914,0.91277,79.2,2.0,0.1,11,2,13,0.00181,1.4,Tokyo,1min,EMA fast above slow (bullish bias) | Price above EMA-200 (uptrend) | MACD line positive | RSI bullish zone (66.6) | SuperTrend bullish
1772864580.67,2026-03-07T13:23:00.670069,AUD/USD,BUY,VERY_STRONG,0.65166,0.64897,0.65706,0.65976,0.66246,81.9,2.0,0.14,9,2,11,0.00135,1.2,Tokyo,1min,"EMA fast above slow (bullish bias) | Price above EMA-200 (uptrend) | MACD line positive | RSI bullish zone (68.6) | Price above Ichimoku cloud, Tenkan > Kijun"
1772864580.752,2026-03-07T13:23:00.752105,NZD/USD,SELL,STRONG,0.59924,0.60125,0.59521,0.5932,0.59119,79.8,2.0,0.19,2,11,13,0.00101,1.5,Tokyo,1min,EMA fast below slow (bearish bias) | Price below EMA-200 (downtrend) | MACD line negative | RSI bearish zone (35.4) | SuperTrend bearish
1772864580.835,2026-03-07T13:23:00.835252,USD/CAD,BUY,STRONG,1.36317,1.3589,1.37172,1.37599,1.38026,79.8,2.0,0.12,11,2,13,0.00214,1.4,Tokyo,1min,EMA fast above slow (bullish bias) | Price above EMA-200 (uptrend) | MACD line positive | RSI bullish zone (63.6) | SuperTrend bullish
1772864580.917,2026-03-07T13:23:00.916518,EUR/GBP,SELL,STRONG,0.84907,0.85191,0.84341,0.84057,0.83774,73.7,2.0,0.11,5,12,17,0.00142,1.5,Tokyo,1min,"EMA fast below slow (bearish bias) | Price below EMA-200 (downtrend) | MACD line negative | SuperTrend bearish | Price below Ichimoku cloud, Tenkan < Kijun"
1772864580.998,2026-03-07T13:23:00.998230,EUR/JPY,SELL,MODERATE,207.55299,292.1424,38.37416,-46.21525,-130.80467,64.8,2.0,0.01,4,4,8,42.29471,1.2,Tokyo,1min,Price below EMA-200 (downtrend) | SuperTrend bearish | Price below VWAP | ML bearish probability: 87%
1772864581.079,2026-03-07T13:23:01.078814,GBP/JPY,SELL,WEAK,263.94645,429.72298,-67.6066,-233.38313,-399.15966,59.4,2.0,0.01,5,5,10,82.88826,2.0,Tokyo,1min,Squeeze momentum turned negative | OBV below its EMA (bearish volume) | Candlestick: Evening Star | Hurst=1.29 trending market (bearish) | ML bearish probability: 100%
1772864940.317,2026-03-07T13:29:00.316607,EUR/USD,BUY,VERY_STRONG,1.08844,1.08469,1.09596,1.09971,1.10347,81.4,2.0,0.1,11,3,14,0.00188,0.8,Tokyo,1min,EMA fast above slow (bullish bias) | Price above EMA-200 (uptrend) | MACD line positive | RSI bullish zone (61.3) | SuperTrend bullish
1772864940.4,2026-03-07T13:29:00.400149,GBP/USD,BUY,STRONG,1.26248,1.25703,1.27337,1.27882,1.28426,71.5,2.0,0.07,9,3,12,0.00272,1.2,Tokyo,1min,"EMA fast above slow (bullish bias) | Price above EMA-200 (uptrend) | MACD line positive | RSI bullish zone (61.1) | Price above Ichimoku cloud, Tenkan > Kijun"
1772864940.481,2026-03-07T13:29:00.481241,USD/JPY,BUY,STRONG,467.71116,351.01065,701.11217,817.81268,934.51319,72.2,2.0,0.01,10,4,14,58.35025,0.8,Tokyo,1min,"EMA fast above slow (bullish bias) | Price above EMA-200 (uptrend) | MACD line positive | SuperTrend bullish | Price above Ichimoku cloud, Tenkan > Kijun"
1772864940.563,2026-03-07T13:29:00.563196,USD/CHF,SELL,MODERATE,0.89211,0.89571,0.8849,0.8813,0.8777,66.5,2.0,0.1,7,10,17,0.0018,1.4,Tokyo,1min,Price below EMA-200 (downtrend) | RSI bearish zone (42.0) | Bearish RSI divergence detected | SuperTrend bearish | Donchian breakout below lower band
1772864940.647,2026-03-07T13:29:00.646632,AUD/USD,BUY,STRONG,0.65032,0.64766,0.65563,0.65829,0.66094,79.2,2.0,0.14,9,3,12,0.00133,1.2,Tokyo,1min,"EMA fast above slow (bullish bias) | Price above EMA-200 (uptrend) | MACD line positive | RSI bullish zone (56.9) | Price above Ichimoku cloud, Tenkan > Kijun"
1772864940.73,2026-03-07T13:29:00.730284,NZD/USD,BUY,MODERATE,0.60247,0.60042,0.60657,0.60862,0.61066,62.1,2.0,0.18,9,6,15,0.00102,1.5,Tokyo,1min,"EMA fast above slow (bullish bias) | MACD line positive | RSI bullish zone (63.3) | Price above Ichimoku cloud, Tenkan > Kijun | ADX 26 strong uptrend"
1772864940.812,2026-03-07T13:29:00.812145,USD/CAD,SELL,WEAK,1.35731,1.3619,1.34813,1.34355,1.33896,59.6,2.0,0.11,8,8,16,0.00229,1.4,Tokyo,1min,EMA fast crossed below slow | RSI bearish zone (42.4) | Bearish RSI divergence detected | ADX 27 strong downtrend | OBV below its EMA (bearish volume)
1772864940.898,2026-03-07T13:29:00.898475,EUR/GBP,SELL,STRONG,0.84858,0.85122,0.84328,0.84064,0.83799,78.1,2.0,0.11,3,11,14,0.00132,1.5,Tokyo,1min,"EMA fast below slow (bearish bias) | Price below EMA-200 (downtrend) | MACD line negative | SuperTrend bearish | Price below Ichimoku cloud, Tenkan < Kijun"
1772864940.982,2026-03-07T13:29:00.981888,EUR/JPY,BUY,MODERATE,198.13364,118.25962,357.88166,437.75567,517.62968,63.0,2.0,0.01,5,3,8,39.93701,1.2,Tokyo,1min,EMA fast above slow (bullish bias) | MACD line positive | OBV above its EMA (bullish volume) | Hurst=1.00 trending market (bullish) | ML bullish probability: 100%
1772864941.064,2026-03-07T13:29:01.063865,GBP/JPY,SELL,STRONG,176.0695,345.51911,-162.8297,-332.2793,-501.72891,70.4,2.0,0.01,6,9,15,84.7248,2.0,Tokyo,1min,EMA fast crossed below slow | Price below EMA-200 (downtrend) | MACD line negative | RSI bearish zone (39.8) | Bearish RSI divergence detected
